895 892
213 796 -556
117 851 144
825 744 64
78 104 264
800 755 -551
791 192 -852
399 342 -935
240 490 390
696 422 -868
770 809 952
513 281 740
107 664 122
770 786 -502
314 351 -857
565 347 832
635 489 -131
709 762 -525
672 895 -40
600 850 -293
340 335 826
463 817 -310
636 432 334
201 513 395
775 199 -847
145 43 441
410 237 -569
868 77 668
735 58 -334
595 275 504
375 823 -621
190 467 536
334 801 -215
399 579 450
110 660 -320
105 841 -112
584 296 -378
868 807 -60
289 299 82
100 9 -776
403 826 -90
481 315 150
6 471 486
182 476 980
779 459 -323
114 728 316
632 288 -579
685 461 -920
635 749 -77
514 352 -246
402 538 733
101 677 -572
451 353 -98
468 830 -748
143 572 -605
844 53 961
583 389 375
170 154 517
754 254 -893
754 559 127
86 625 730
750 55 -757
283 511 423
455 486 997
513 791 176
345 352 -952
335 587 763
618 648 357
141 609 878
794 877 215
471 165 716
777 722 185
369 545 405
873 649 455
347 482 866
431 126 -923
433 357 -315
380 220 -442
638 329 85
749 164 -44
856 770 580
756 171 -899
710 202 777
395 196 -621
874 459 215
101 451 -879
772 472 411
613 417 -750
284 593 648
823 454 -144
557 5 439
213 577 -211
780 894 -406
895 291 304
425 839 -230
458 732 844
803 31 446
618 181 -952
507 692 -434
660 352 -155
783 122 -765
666 344 -759
265 433 -886
595 365 597
125 7 -981
339 351 -308
666 367 826
358 474 935
111 522 370
192 108 848
739 494 340
24 33 582
859 699 396
861 193 57
427 289 -106
714 187 957
695 95 -974
810 735 800
442 862 -550
129 87 -148
174 91 289
133 633 931
30 846 666
325 232 263
103 73 -914
144 529 892
542 129 944
538 10 200
611 549 738
345 503 766
28 519 -488
19 884 -931
427 717 150
632 829 128
127 791 744
579 394 -441
179 687 -661
514 406 783
836 765 846
292 804 -334
668 817 -728
156 372 -630
443 354 499
341 360 -898
177 570 -719
195 502 683
775 670 -962
168 852 -624
453 604 565
45 673 496
694 505 290
819 640 -1
750 409 286
364 140 835
641 369 698
734 590 737
535 810 -754
4 742 558
333 768 252
256 200 -939
373 575 214
47 354 -432
699 242 327
42 632 -644
244 791 848
116 97 -556
709 780 -316
180 443 -188
581 505 -68
888 161 205
116 624 122
154 313 737
40 685 -618
472 387 -541
154 848 -200
558 143 -321
190 354 -508
702 200 -832
841 5 -942
35 174 -870
892 96 567
634 629 557
279 58 32
355 415 -373
557 167 -628
353 463 813
765 103 230
473 57 801
138 669 -955
797 858 916
120 155 -463
699 3 -373
587 854 599
691 549 819
682 229 487
648 375 -507
495 704 -709
284 222 -714
807 444 581
169 54 691
656 11 -105
