849 887
180 196 726
472 845 908
536 568 672
330 73 731
441 647 95
501 279 380
357 168 856
219 689 687
27 147 -682
774 242 -966
667 604 604
570 214 -565
614 650 318
769 673 992
459 592 -90
629 109 460
750 561 139
216 777 -343
634 603 -476
611 729 -390
628 789 955
644 94 -629
76 498 564
314 90 203
408 184 827
626 309 231
87 477 -902
121 661 839
624 507 267
638 811 216
414 484 -158
697 469 -325
375 230 719
372 527 -554
309 572 -976
160 781 -347
404 422 14
672 536 786
832 20 -913
740 639 -319
775 85 165
365 10 -54
781 134 -939
42 373 737
379 95 -337
766 128 -839
812 503 949
289 387 -689
661 44 654
565 447 -457
829 481 547
827 473 51
544 561 939
427 523 -485
772 147 -618
255 301 -749
284 789 315
555 101 877
776 251 -985
395 383 -969
12 334 -546
557 227 437
830 383 937
602 79 539
193 269 904
333 9 478
526 53 245
214 778 -303
18 399 719
829 392 29
57 147 -643
780 823 669
289 810 581
734 128 -560
608 70 -656
503 137 -56
237 433 522
19 830 964
43 637 -821
432 587 452
781 152 403
332 208 -231
725 816 159
44 74 -510
813 589 -979
475 183 471
368 828 347
788 847 844
577 425 284
399 848 -467
276 566 -383
265 422 -21
605 22 937
220 745 -206
351 279 -603
445 806 -243
713 599 -605
628 597 -157
438 143 -843
691 143 309
294 248 359
161 190 909
846 754 -520
161 272 -874
213 845 344
695 340 -253
400 799 725
663 16 673
105 172 -790
57 711 -717
242 305 -791
114 265 -280
311 188 -163
599 409 546
740 732 -367
718 312 532
241 742 536
732 681 -170
782 58 -103
716 433 137
266 264 929
268 849 58
844 812 -32
812 753 746
133 431 199
486 681 358
674 437 313
779 548 -179
501 109 178
193 359 272
51 817 -35
193 703 -934
672 618 865
524 448 -660
738 650 -915
236 575 -953
361 441 899
793 657 594
828 361 -158
354 12 673
834 376 343
450 105 -944
61 468 -668
579 205 110
534 355 -674
121 301 524
677 695 409
517 707 455
162 446 -444
412 695 -360
770 13 -95
308 488 702
680 145 -159
777 456 596
816 711 374
186 511 -281
601 210 -402
129 221 -4
625 766 691
706 151 -942
711 325 -458
800 132 -540
281 382 -708
599 674 666
805 610 -333
405 429 124
833 193 804
701 598 -836
798 458 -21
6 411 -772
19 774 127
794 580 523
11 748 -75
619 407 975
683 428 365
134 222 -604
202 451 10
109 184 403
640 771 -858
301 629 -568
760 436 845
43 278 966
54 209 44
354 310 147
257 464 -237
734 658 625
823 275 -616
325 605 260
235 507 -821
467 474 706
585 333 704
10 356 111
788 605 500
195 640 833
708 611 268
564 723 -878
713 718 21
4 804 623
816 156 -87
572 84 182
152 797 -188
138 699 67
786 22 -298
522 538 -218
208 306 427
791 216 74
712 254 152
701 720 989
811 785 310
249 845 -791
607 434 253
194 65 -228
595 632 -209
314 649 331
53 206 -620
427 160 -661
253 800 -828
623 659 468
571 67 -337
212 719 -386
729 267 -230
424 622 -729
361 371 -552
384 264 1
436 788 34
688 240 -259
752 343 -263
247 229 -709
384 643 761
731 541 -971
277 57 951
722 354 -291
224 39 -659
415 816 282
455 411 -546
658 153 733
516 24 185
800 462 268
275 124 -868
395 72 -226
87 391 387
779 197 -899
411 78 914
819 657 287
746 685 -743
430 261 -86
421 727 133
819 76 194
437 728 502
1 196 -623
632 273 550
267 318 -178
85 121 788
235 673 -649
808 809 68
631 247 -91
431 437 -682
611 456 779
324 100 -334
173 164 -242
828 847 -184
781 89 379
135 125 284
384 653 -564
150 139 -417
522 351 -436
482 439 913
745 82 -201
556 551 -492
246 209 567
560 590 -887
341 561 -324
653 271 -626
810 663 943
88 407 -309
125 162 -552
419 565 474
448 32 759
471 271 -801
173 496 927
380 398 -592
721 5 884
399 826 553
234 131 908
493 179 987
182 437 -845
264 446 705
60 591 585
732 448 -591
261 552 438
442 494 -886
494 69 -574
12 123 -664
292 246 964
393 639 -750
10 111 694
228 50 -271
618 374 -204
92 322 -364
576 399 -808
739 606 -29
266 536 8
516 364 567
37 585 906
398 223 -551
691 449 -23
604 240 -573
240 627 -578
329 517 -642
96 290 -765
603 491 383
455 421 994
570 486 964
52 650 -997
267 356 -719
84 437 2
588 340 -626
741 820 -98
47 568 533
40 420 -615
605 820 955
586 302 399
472 667 14
68 228 -252
804 825 270
518 764 959
828 571 742
306 698 836
726 301 453
582 128 -361
724 199 -54
700 684 -280
393 149 -575
567 107 -622
1 844 -893
281 363 -866
746 273 39
657 28 -782
125 414 -6
600 695 645
192 191 626
57 442 -90
130 638 7
732 563 -123
769 803 -577
297 818 251
637 90 509
182 561 214
216 445 310
42 275 -379
201 364 469
541 448 652
172 560 8
328 677 -402
22 324 411
184 31 -781
493 324 -865
571 347 49
166 59 -961
222 680 101
338 741 582
765 490 661
632 466 -576
345 154 -795
15 394 -646
572 694 -492
578 766 223
555 602 494
69 806 147
290 228 -287
818 738 580
783 138 376
431 215 10
848 650 863
601 696 819
523 91 -18
359 589 745
781 525 723
439 664 941
753 573 -555
253 81 606
285 8 828
288 41 -33
50 211 161
661 346 -584
713 314 -873
494 455 -908
552 60 375
235 116 -737
285 641 -377
682 52 -359
261 398 343
502 627 -705
842 396 871
371 67 -364
106 113 -132
390 581 551
798 542 -496
270 409 620
374 209 303
83 219 -231
678 781 -447
795 623 -636
717 208 -774
721 542 -881
140 587 975
137 55 374
286 38 -609
830 837 -779
677 446 -482
162 117 609
5 80 308
185 465 -684
94 323 492
165 782 -942
837 345 204
292 696 -781
262 42 576
282 801 333
381 125 950
295 793 -938
322 355 -960
110 308 -348
829 312 -98
303 762 616
401 318 -527
686 418 -755
826 90 410
100 298 155
824 668 876
266 600 -749
610 549 777
118 250 144
805 163 968
73 415 299
676 827 587
81 651 773
464 272 225
778 491 311
393 847 313
39 100 -721
586 791 789
205 633 646
627 644 990
227 404 -165
592 378 -329
337 232 -618
485 267 457
335 392 766
345 548 742
240 679 799
526 571 -960
818 327 343
450 747 706
650 271 293
136 649 -134
378 469 -107
423 227 611
137 627 851
168 422 -298
578 348 -39
405 342 701
333 474 -609
629 414 454
410 589 298
674 230 233
219 348 529
773 7 723
260 633 85
61 530 -234
370 786 -342
146 80 -46
324 170 -869
131 262 445
574 567 -538
389 227 916
583 46 723
18 609 -864
213 479 161
208 608 563
53 661 -982
808 539 -232
428 627 103
680 488 -352
598 687 -662
190 303 -361
345 779 621
662 648 185
14 484 -541
8 395 817
198 794 -227
196 398 451
740 644 -833
673 233 -698
809 774 32
365 117 -507
846 785 -755
75 297 -391
835 179 -180
52 567 -394
266 487 -633
461 322 736
427 504 -118
423 261 54
203 639 -259
578 721 -943
282 816 -585
654 40 54
362 189 -804
410 81 -581
792 37 128
550 169 329
277 342 967
189 534 157
466 569 250
93 692 233
218 705 -445
252 618 650
747 662 261
413 645 153
337 482 -858
680 536 292
679 291 -953
800 638 -839
236 20 625
720 837 17
510 681 223
178 82 299
290 750 -710
598 808 623
