19
974 1930
481 964 765
289 948 753
426 43 759
208 953 208
450 122 884
711 18 80
490 393 129
461 905 131
660 578 648
670 267 376
357 565 786
381 791 693
737 74 496
529 404 248
928 138 239
215 117 975
53 10 746
143 640 153
691 388 794
698 932 372
315 373 631
190 464 2
237 790 960
168 393 413
577 141 154
831 489 712
590 592 730
387 581 99
393 216 34
290 444 28
106 451 240
77 275 665
312 373 49
779 200 250
726 135 771
527 809 557
719 294 927
647 752 987
45 712 940
200 73 999
444 180 882
288 687 378
133 243 233
286 544 471
832 256 851
492 629 477
791 449 628
142 568 857
92 725 500
855 787 402
894 86 350
236 326 567
655 601 903
619 545 100
64 649 418
617 275 76
109 86 281
380 481 673
472 345 338
315 669 811
171 547 950
660 179 870
845 201 395
566 627 308
406 892 881
382 239 761
439 566 884
138 210 5
506 269 712
316 215 363
431 303 379
752 82 841
883 812 767
591 800 697
297 880 361
40 502 418
558 686 721
290 399 676
134 837 823
949 374 574
396 889 505
209 802 616
250 69 646
5 368 453
967 700 918
761 235 130
305 782 82
499 796 222
450 906 83
495 625 614
341 501 971
925 483 980
564 775 427
133 842 914
402 528 491
912 225 787
571 402 803
106 573 404
364 198 789
782 207 116
536 681 314
912 899 831
568 475 149
875 253 997
101 269 68
861 241 888
706 451 270
9 1 388
537 168 529
942 797 780
512 580 906
707 395 895
702 830 990
617 598 690
779 15 312
792 118 7
444 754 951
311 652 751
921 906 899
959 825 169
889 120 534
896 229 417
30 172 486
169 102 704
398 434 557
699 667 513
626 474 964
265 258 308
562 266 475
815 278 361
175 43 131
185 628 156
720 640 731
389 305 134
855 109 640
416 967 483
930 576 73
349 215 581
156 588 895
684 367 60
461 241 76
959 742 545
870 95 454
73 504 653
239 948 933
973 889 685
230 430 727
651 782 767
183 167 167
812 374 748
624 439 349
717 673 608
723 772 623
398 415 379
444 885 105
883 358 461
91 459 922
910 637 899
952 587 897
257 134 672
201 349 156
188 243 58
82 946 572
338 740 956
713 127 232
339 187 383
1 329 47
64 649 382
793 467 779
948 374 523
552 667 536
196 472 290
698 763 626
562 129 418
350 214 795
895 67 755
116 442 585
437 894 314
170 667 729
