18
944 1643
134 572 535
253 285 657
637 491 76
100 719 924
668 439 625
447 331 749
191 692 405
128 460 281
95 759 169
55 560 234
931 417 454
418 797 24
490 16 644
527 322 526
67 286 149
215 254 183
393 236 205
604 242 727
164 92 518
846 807 2
548 755 353
166 902 900
76 279 167
289 901 259
663 150 764
690 230 515
45 844 304
762 577 502
814 637 114
751 71 731
498 295 905
271 919 441
577 865 310
456 308 55
836 291 659
538 457 850
137 890 220
451 381 137
526 582 921
363 569 736
495 51 860
95 105 47
36 891 507
83 46 532
115 206 469
498 169 22
229 607 1000
793 611 518
193 749 117
736 725 553
860 769 253
565 512 130
570 590 393
171 585 810
322 472 201
383 786 466
880 398 43
473 586 787
785 155 360
146 529 861
625 400 389
729 189 507
732 534 201
804 58 289
629 905 5
659 433 752
451 739 583
403 858 70
134 936 193
21 625 395
516 242 517
367 230 593
632 688 215
287 341 148
595 752 466
157 885 967
520 834 903
568 467 944
782 543 239
575 602 975
592 103 486
208 86 729
161 469 511
803 478 781
67 722 266
621 659 488
721 301 481
353 748 828
265 448 387
484 187 508
429 570 225
719 720 231
599 774 448
928 97 389
559 511 736
811 69 982
65 701 497
215 868 129
710 51 70
359 392 104
578 913 29
491 477 586
833 658 548
883 148 830
589 209 190
910 356 515
320 897 337
839 87 888
845 285 602
922 799 558
497 471 687
566 523 649
891 104 110
92 3 580
15 924 25
200 522 864
291 659 113
179 905 910
729 607 876
907 563 39
49 26 19
340 334 253
826 140 619
525 370 626
85 219 607
271 447 629
247 537 784
242 36 797
192 297 873
46 528 657
204 814 535
360 262 837
130 572 324
31 527 122
733 11 985
576 577 326
598 227 821
278 451 860
380 728 327
6 805 403
743 173 829
66 142 963
163 24 270
940 34 648
309 553 718
633 767 1
373 8 422
713 554 811
226 566 167
432 43 789
508 94 61
491 11 711
330 409 985
780 478 36
157 222 831
410 298 493
57 819 676
594 821 909
347 337 966
194 818 973
31 599 169
627 443 313
427 917 470
720 568 559
620 82 794
913 94 319
675 151 119
507 515 122
387 417 521
118 359 508
757 158 834
907 857 494
554 12 20
633 207 770
682 214 49
445 917 837
848 780 341
912 928 771
472 303 325
343 750 975
662 886 895
696 445 611
890 319 242
111 408 513
534 357 165
664 919 143
873 119 32
443 586 797
788 284 780
596 567 27
84 333 482
76 723 111
228 731 243
640 761 100
233 627 33
849 337 188
328 85 179
451 515 308
908 555 335
138 893 299
622 344 323
29 869 319
621 759 199
618 284 995
428 747 226
398 147 274
715 440 588
537 538 176
479 257 968
663 218 927
148 723 406
526 514 665
765 512 845
623 897 985
522 847 875
589 879 430
90 692 55
408 533 769
746 600 686
208 584 647
743 265 460
298 854 932
802 299 600
444 404 822
422 42 951
736 69 828
367 553 533
325 718 92
296 726 365
941 610 750
109 140 32
386 643 13
346 700 731
441 454 432
881 333 601
137 234 760
880 248 638
766 87 124
187 68 746
89 834 116
657 139 386
305 175 151
87 282 867
219 775 673
725 9 839
431 238 524
489 107 727
744 887 148
329 466 713
293 60 889
244 198 913
661 475 660
314 55 804
640 200 774
156 784 490
629 299 175
843 908 535
816 126 561
141 772 295
156 388 683
721 420 343
392 591 30
40 890 688
363 116 77
873 58 750
175 274 779
160 827 66
806 858 778
620 737 813
394 270 287
463 772 467
200 301 343
540 655 997
712 282 202
830 571 320
248 268 733
609 261 115
298 842 516
279 926 558
938 471 550
94 786 29
663 332 128
375 302 949
544 934 519
232 485 662
582 795 254
687 895 121
712 141 509
919 568 534
358 536 223
368 41 787
868 835 379
350 795 737
454 246 732
522 29 630
776 318 606
103 307 597
20 771 388
346 44 549
823 626 541
315 407 327
175 302 600
249 552 760
725 230 723
531 508 854
494 774 898
434 463 763
280 888 533
65 324 593
210 388 879
876 877 400
431 399 972
421 437 331
220 867 417
839 239 535
509 21 323
677 494 10
777 139 861
898 583 743
715 76 82
743 309 184
425 742 90
306 323 28
679 369 572
413 462 718
374 831 881
644 308 716
645 752 332
327 439 272
359 35 636
180 427 498
13 897 415
153 446 675
410 387 438
191 201 549
595 86 90
593 917 933
723 247 700
196 519 782
601 379 964
450 388 547
440 564 942
78 418 253
358 681 98
3 341 815
35 105 31
638 609 735
439 598 250
397 345 331
874 148 505
377 520 112
556 486 815
882 465 138
425 111 756
485 539 600
306 554 121
533 190 766
403 625 95
617 608 341
381 565 634
109 638 383
822 343 940
557 110 334
544 298 286
603 47 40
262 276 9
926 773 726
144 804 648
651 682 372
636 597 443
148 779 541
197 466 57
215 668 923
163 666 442
480 458 383
403 469 934
84 740 993
368 231 435
143 678 697
56 11 118
429 172 609
131 524 150
692 14 851
225 581 384
928 546 830
808 596 742
103 650 366
38 168 851
598 110 755
700 108 565
362 851 297
660 287 744
228 169 732
906 842 532
39 235 191
387 145 549
296 656 585
629 169 963
335 420 754
596 273 510
754 267 183
33 402 905
347 817 705
818 47 811
306 515 597
798 55 215
278 199 589
300 836 109
179 608 790
882 607 642
106 161 183
805 521 805
117 242 850
293 936 725
45 254 665
375 290 798
455 584 762
2 93 324
782 868 904
760 275 82
552 25 464
618 429 558
286 884 999
20 591 378
550 571 448
115 324 285
406 804 837
137 447 381
772 577 949
613 270 972
695 681 708
281 290 990
262 854 648
750 803 410
492 601 469
928 940 667
168 708 433
267 846 58
4 96 272
276 313 586
430 843 358
449 550 528
26 829 784
42 292 151
434 554 846
406 103 679
72 58 184
58 712 754
600 866 19
45 605 317
541 810 135
117 415 802
388 163 437
406 141 232
617 43 218
130 750 422
470 596 909
44 396 217
893 126 331
421 669 47
428 369 49
441 709 135
282 888 935
348 602 881
320 29 815
294 762 483
28 142 302
788 321 482
393 345 659
919 274 879
735 912 41
616 211 117
82 165 297
192 688 598
919 644 583
707 75 699
517 169 548
213 571 971
253 838 271
43 205 304
149 668 448
642 524 272
790 712 186
611 364 693
165 896 248
475 192 948
628 336 683
412 399 845
55 907 629
939 154 773
446 808 739
637 297 623
52 197 696
146 354 463
903 917 896
453 342 186
81 247 570
610 782 212
502 872 388
630 366 396
62 73 975
323 378 162
102 230 707
126 73 883
863 777 251
287 434 273
462 144 635
935 718 212
252 779 938
347 521 860
852 136 58
162 881 858
247 873 745
247 162 147
689 400 577
288 559 543
424 941 671
642 478 61
673 814 343
367 674 54
223 63 366
34 143 556
