935 2814
706 813 930
204 83 345
230 355 779
856 106 276
927 556 769
151 513 483
572 268 810
922 926 948
613 624 503
849 197 917
185 847 419
296 360 446
31 60 977
768 268 372
82 431 620
130 446 443
791 621 956
75 79 349
475 864 606
330 906 384
811 733 945
328 354 625
54 423 642
417 839 919
834 16 298
462 689 684
626 422 826
821 274 208
875 516 478
365 339 779
658 154 813
556 383 615
510 458 622
637 732 975
83 654 91
111 680 925
314 399 480
314 348 678
312 198 343
698 633 407
200 440 585
525 151 717
417 241 120
201 887 332
373 446 556
193 602 18
797 230 465
263 820 676
365 202 613
290 166 120
833 187 957
849 892 424
1 360 785
775 325 221
755 615 292
518 364 282
438 340 493
618 722 584
877 407 510
173 416 843
185 534 878
324 694 16
321 768 754
471 675 664
748 262 214
195 165 463
102 438 72
876 782 37
86 804 404
203 791 618
854 440 677
243 619 581
376 586 842
290 354 230
927 579 561
890 372 728
194 226 490
495 906 801
320 509 201
179 7 977
19 635 338
549 466 70
838 555 142
352 117 281
674 140 53
580 369 309
307 574 997
802 161 860
546 218 868
339 493 13
661 358 340
71 843 830
636 864 821
308 716 619
672 659 75
488 529 260
95 918 633
775 663 27
119 659 554
853 511 50
578 871 534
545 664 787
835 406 30
707 546 473
308 792 636
434 672 3
79 904 815
16 154 48
623 58 293
506 236 644
782 542 736
696 110 392
642 124 77
932 537 261
179 884 574
923 825 311
887 641 264
591 801 919
500 201 327
324 934 310
703 372 980
615 84 722
214 137 156
413 762 930
596 411 182
513 204 637
102 240 841
518 46 516
627 472 868
802 579 208
852 90 700
93 291 155
849 126 693
399 881 101
449 204 939
901 729 575
612 637 776
356 508 400
382 253 285
579 232 960
19 168 174
616 794 793
5 635 533
799 595 337
567 451 121
338 608 556
314 236 704
250 901 706
649 869 563
203 101 89
796 468 457
224 707 476
604 723 140
20 506 522
204 576 372
39 615 173
86 661 380
164 757 368
158 774 941
355 885 82
817 273 417
136 274 87
420 673 604
733 832 700
711 934 685
441 55 89
848 801 153
234 535 52
685 412 41
587 339 235
157 23 432
637 206 708
1 121 277
630 232 912
78 565 329
622 213 942
782 523 584
358 237 581
464 402 552
536 614 718
368 67 587
499 12 612
654 614 875
109 795 657
187 390 775
212 716 551
650 873 321
131 14 372
380 393 901
876 901 651
157 664 427
365 197 746
555 667 433
258 665 978
435 258 673
906 565 467
538 541 610
124 280 887
834 891 102
836 406 719
99 62 39
731 689 28
694 704 473
751 32 26
696 848 771
885 725 895
614 561 860
879 58 890
722 764 133
434 58 81
7 258 393
526 123 246
636 2 648
742 648 296
632 266 692
237 193 90
233 80 840
118 124 260
624 186 829
223 810 209
925 162 620
928 428 478
262 272 94
475 512 797
828 654 791
799 642 996
515 452 180
547 158 817
799 546 476
68 44 757
596 466 325
213 185 492
664 511 961
416 357 353
111 876 211
627 23 706
409 916 599
364 719 117
463 626 716
100 219 582
572 96 483
873 918 640
65 467 691
757 456 686
200 499 474
190 393 419
331 582 576
749 735 453
382 789 439
578 118 855
808 569 144
325 865 698
107 487 457
642 688 164
594 658 126
674 666 827
328 831 771
716 757 353
865 658 152
625 238 218
177 121 932
787 598 535
364 828 505
426 114 201
136 97 832
144 214 938
203 247 321
274 730 768
844 565 146
581 697 763
552 165 720
798 166 520
175 480 470
522 34 378
438 231 300
525 34 861
321 729 393
818 336 427
876 225 545
25 675 911
847 485 664
718 704 628
459 569 564
766 755 333
377 448 587
42 62 487
142 696 696
159 82 670
232 276 144
902 338 90
304 625 792
295 752 57
250 517 218
149 411 45
658 142 375
26 763 210
22 815 609
684 509 609
88 777 3
431 408 389
612 827 425
104 301 233
570 815 754
532 266 776
504 924 131
669 481 583
615 821 247
106 714 810
573 891 919
579 350 763
488 593 183
457 416 153
272 294 570
324 201 834
235 225 578
256 394 16
836 711 799
607 541 476
506 137 672
440 667 977
860 128 330
256 730 833
741 176 1
729 207 478
158 214 576
701 598 738
855 819 834
182 367 265
263 540 676
796 167 995
107 570 908
252 466 782
782 110 266
274 258 950
24 683 887
585 480 25
728 18 691
319 303 192
280 107 806
31 646 313
439 12 461
465 368 366
158 652 285
901 583 796
407 738 321
419 574 805
542 563 743
841 159 117
882 601 600
170 799 64
308 645 694
371 465 715
768 82 98
928 146 281
177 422 790
813 144 494
389 306 176
495 40 444
813 136 917
251 185 917
705 259 812
734 349 181
419 909 100
545 830 808
738 641 861
711 299 333
659 578 792
231 885 922
322 96 185
323 90 161
227 630 524
694 810 375
457 808 485
154 666 867
171 866 872
643 118 943
233 285 429
667 488 270
832 302 153
626 592 455
37 400 999
180 835 466
597 185 118
139 262 775
135 544 652
826 72 275
324 5 476
869 100 355
235 376 913
570 1 763
160 561 583
441 342 889
838 238 819
526 896 676
264 97 457
541 852 752
545 510 347
159 785 869
234 582 82
564 679 918
821 540 394
739 173 892
528 765 672
644 595 490
520 348 90
757 262 383
104 760 831
190 840 573
737 628 585
346 915 506
430 569 831
445 373 421
526 828 462
247 865 714
339 719 821
304 511 731
66 834 786
310 523 112
566 830 863
390 583 714
408 591 970
