831 2533
386 440 902
803 282 160
456 586 374
438 830 878
45 109 861
651 271 982
815 408 788
264 823 75
706 379 688
130 477 763
231 5 402
193 259 808
577 774 696
249 364 357
253 556 328
708 189 952
647 722 749
302 370 592
317 45 773
552 268 480
492 323 863
311 455 125
183 230 315
801 770 722
539 115 18
354 40 992
807 709 695
464 29 184
217 718 550
59 583 57
260 155 44
695 162 489
744 52 125
347 393 965
812 225 749
786 106 577
729 527 610
532 491 672
152 603 582
390 285 318
635 770 951
771 251 889
267 700 291
153 292 997
758 507 367
679 571 691
621 164 466
245 365 44
257 788 912
630 747 115
531 470 331
558 22 743
704 331 520
580 614 661
526 219 35
398 456 780
227 362 307
153 765 284
824 8 848
740 50 991
247 387 924
544 475 438
486 386 759
796 453 894
161 420 215
269 104 465
354 190 913
226 447 316
372 350 366
802 115 149
174 322 575
793 503 218
152 704 231
289 10 537
383 800 676
325 412 137
376 616 733
375 653 302
756 594 839
289 231 203
245 135 739
627 1 940
595 203 858
157 77 561
502 275 828
122 568 124
574 155 690
821 739 75
649 418 208
114 741 969
294 593 146
225 348 765
63 698 667
683 806 946
413 85 954
177 670 158
102 507 397
481 490 132
38 681 856
774 135 613
503 561 634
824 393 579
651 581 514
611 744 948
730 384 134
452 330 487
83 382 744
753 454 935
172 503 157
287 368 961
272 727 865
180 490 560
660 123 359
144 187 978
330 617 441
303 381 891
793 520 34
811 222 642
100 7 73
367 596 579
41 519 281
199 557 430
533 82 123
709 735 545
346 824 383
649 184 756
284 482 822
124 817 177
526 299 104
536 94 275
248 553 109
533 288 101
811 684 914
11 713 324
580 731 25
387 623 968
627 656 659
727 307 652
453 115 412
8 545 76
620 208 998
196 743 119
386 542 477
715 459 241
775 324 36
573 406 331
79 7 75
60 117 919
658 721 428
277 712 894
789 181 182
561 536 919
681 289 174
535 668 326
602 497 375
728 398 630
756 275 452
799 332 81
412 95 974
285 795 441
364 593 500
764 375 373
294 671 194
474 685 311
699 257 915
455 103 460
654 115 714
365 358 265
323 547 903
328 305 993
486 249 708
556 531 677
10 599 2
210 167 360
566 663 866
714 338 310
81 234 945
34 232 756
104 786 663
628 381 512
261 13 697
231 675 82
100 515 273
127 568 694
312 498 704
747 416 622
573 59 631
526 93 183
367 252 760
820 775 49
537 658 753
537 525 737
57 728 501
318 519 919
206 570 205
399 277 446
177 288 274
166 453 328
168 412 390
686 203 908
602 4 800
208 261 712
797 92 430
751 774 920
