19
939 954
419 829 -135
347 129 891
241 652 -155
780 483 -417
722 567 -240
611 477 292
96 596 326
857 139 -719
42 78 53
228 34 836
828 738 581
739 229 539
730 67 -768
73 514 651
491 110 -572
480 473 -25
720 474 996
532 551 -194
364 553 647
933 811 -394
380 838 491
421 918 -628
365 51 707
53 168 566
47 741 917
336 660 655
675 705 210
104 452 -252
95 518 -585
447 725 -276
923 326 -60
527 254 352
523 743 511
187 826 -469
236 841 484
549 386 -470
643 255 129
282 520 -722
681 376 -510
897 730 -189
106 839 148
660 878 86
101 33 304
252 188 -996
841 503 -510
343 21 15
483 580 -161
578 490 -742
865 667 -737
448 655 385
576 72 180
501 810 210
914 28 297
873 748 -760
453 634 840
484 486 796
46 629 132
827 369 -649
572 789 -753
136 338 687
101 400 -509
591 741 876
320 495 -290
212 116 640
296 317 497
799 135 549
931 415 910
59 655 -385
367 318 -524
837 751 447
555 524 409
687 531 -239
283 99 187
294 682 797
156 610 538
569 731 -231
243 741 646
34 332 189
224 795 -424
190 866 695
228 439 -508
232 830 -16
306 656 -8
152 133 140
40 914 -358
917 124 311
572 518 -531
119 313 -184
200 693 -991
748 472 -947
832 106 -245
331 240 -16
873 640 -579
854 685 -224
518 188 -150
842 111 -291
840 866 -710
398 2 166
55 751 287
139 364 -821
649 410 428
169 660 -538
455 446 67
890 469 560
506 687 123
691 216 -792
357 86 331
729 424 -198
187 32 975
903 195 -248
476 309 -88
790 705 187
539 285 -709
394 743 -643
139 110 -309
623 286 -909
362 593 -378
233 402 -795
838 328 -787
621 70 -943
616 236 -122
727 895 -198
174 100 -299
167 801 -292
850 269 -600
625 889 -880
9 578 792
406 308 -939
501 411 978
486 46 531
926 698 -104
385 637 -368
798 821 -500
771 826 -866
727 755 -27
309 933 -953
701 866 -447
925 833 -241
235 409 -881
272 122 -65
504 421 369
157 689 263
75 266 -989
760 720 201
887 636 674
402 109 -846
866 519 -825
855 580 -444
655 123 350
46 339 -669
266 668 -399
167 357 -744
737 729 -244
170 870 466
836 263 840
194 414 968
729 680 52
32 77 -399
578 837 -890
853 306 -27
364 245 704
346 525 -249
597 535 -245
482 485 911
309 541 -821
401 557 252
558 909 978
235 442 209
629 387 -119
410 324 640
101 758 6
82 360 -706
230 297 304
139 113 -322
839 5 659
929 612 788
511 294 346
845 290 675
482 378 -536
226 882 489
666 817 -199
63 778 -869
837 356 750
605 555 517
320 668 -917
414 96 -436
852 719 595
428 556 56
782 21 940
60 18 -532
386 915 -396
478 579 763
771 465 969
357 536 938
863 331 -609
373 706 1
903 238 -690
622 125 135
688 873 -632
532 654 986
772 499 653
219 103 586
310 401 36
870 32 573
337 742 144
311 501 674
7 851 -933
550 929 -777
854 367 32
204 441 701
72 37 -953
311 634 -969
506 559 -274
838 866 842
565 371 -680
911 751 331
281 666 744
553 18 -793
395 450 431
336 407 258
921 263 -736
138 49 951
34 249 126
292 118 247
892 195 298
38 467 851
876 613 879
129 863 906
16 109 711
347 455 -661
734 864 -980
91 603 389
588 455 -936
484 930 -148
680 8 560
153 424 735
924 83 -67
703 203 835
434 69 -244
914 592 448
650 407 569
407 328 897
806 559 -724
159 846 -644
463 469 754
880 476 65
38 559 -723
79 882 -367
349 155 803
39 883 -206
84 730 117
359 75 -793
825 296 -342
246 923 391
928 29 936
122 482 770
257 254 123
600 439 -565
45 938 -874
124 936 954
815 904 636
282 379 -325
636 699 -733
480 19 537
912 608 977
344 156 -909
889 731 -984
421 4 -517
126 163 -439
680 525 43
460 854 165
440 807 -870
929 934 -954
852 836 894
710 634 -825
252 370 -37
94 395 -884
138 438 -44
756 662 -63
400 429 -605
843 85 647
141 140 867
189 745 -179
477 645 -156
513 86 -488
49 206 -492
462 101 794
681 741 166
363 710 -716
105 605 -820
715 262 -584
515 587 68
298 718 131
755 782 485
397 209 84
795 908 -198
227 295 281
74 210 890
492 133 733
871 840 729
81 750 856
762 422 936
351 116 80
405 765 -464
719 51 301
691 930 -224
922 349 163
737 837 -387
480 806 -141
790 39 -295
753 309 -338
935 109 734
681 8 -975
699 629 467
207 696 -840
882 45 269
60 302 292
232 829 336
874 202 109
60 28 -553
694 457 653
289 423 493
147 221 -565
3 458 -169
710 912 641
843 43 737
168 689 167
699 840 195
784 203 -573
528 402 86
922 459 -855
24 382 763
47 573 234
1 777 -451
328 342 -587
146 105 327
43 660 218
230 855 865
532 152 -535
792 666 272
926 345 822
6 404 -990
362 75 154
454 815 287
256 608 990
696 386 273
882 18 588
156 821 672
229 694 35
430 119 738
132 743 607
737 573 615
105 933 969
891 693 872
733 642 650
645 34 -436
783 643 906
59 535 -512
437 413 877
552 610 289
288 43 -907
530 701 622
397 690 679
273 803 -685
885 641 -926
401 889 -351
237 610 -580
435 412 -103
638 32 -307
581 827 409
521 884 -409
762 39 -561
363 871 219
886 70 287
761 730 -429
852 65 70
479 265 -149
399 425 -971
716 505 -847
8 861 783
346 178 190
47 432 -80
589 551 421
231 457 -38
509 655 -440
507 545 130
654 231 165
871 401 883
176 350 529
296 125 871
559 876 369
379 904 631
421 331 -635
853 483 -778
750 58 891
829 36 725
934 479 918
98 644 736
911 407 849
830 406 845
84 298 552
537 146 -290
342 545 581
170 315 721
486 586 -453
462 308 631
486 550 -862
585 862 -388
633 443 816
929 83 -279
370 639 865
663 162 -506
759 420 965
196 184 -81
561 15 228
569 294 -790
466 710 18
485 615 -717
645 495 -828
391 365 -375
525 345 746
128 621 825
328 832 -267
20 547 -935
550 175 -970
208 777 304
366 715 -858
586 768 -102
17 898 -923
10 385 -675
305 594 -392
781 818 565
255 618 811
934 544 341
488 13 349
675 49 -370
669 219 -453
184 924 35
374 909 20
79 167 520
269 905 -199
55 786 -812
33 737 552
126 526 601
356 140 432
214 754 -221
687 916 444
295 732 264
837 931 -808
687 62 -180
489 914 374
335 141 163
48 341 -251
565 517 449
152 839 -943
108 128 -761
663 431 338
58 541 -240
9 698 574
434 654 -617
44 723 61
546 785 -683
546 655 -702
699 129 -928
36 66 -809
381 728 -491
696 827 260
11 70 840
37 574 -304
347 766 850
582 92 55
677 351 -498
424 326 -318
619 293 343
554 897 991
521 859 -627
517 112 612
234 537 -279
905 88 -410
352 927 -541
73 322 472
322 685 647
842 830 -683
640 182 381
300 228 14
837 939 -783
151 91 244
308 646 -172
577 761 -515
782 877 -588
212 507 -305
358 669 656
92 903 -274
477 395 214
293 800 68
843 551 -113
589 46 -368
51 420 -365
99 43 983
856 124 -249
841 136 -215
797 499 217
154 709 -901
733 98 -484
609 797 -462
740 882 -204
266 545 492
935 446 157
877 430 756
549 403 -854
663 920 675
472 414 -904
561 201 -19
193 64 889
77 131 -719
918 348 -109
472 428 -586
700 400 758
916 705 -780
817 288 -913
286 735 737
920 691 -664
161 873 890
423 836 -733
909 601 -180
655 873 124
719 5 817
711 793 454
294 190 873
526 423 -894
192 3 -674
359 146 -685
245 541 315
823 508 -631
244 315 206
536 293 208
18 483 -250
299 899 -273
76 470 -462
144 331 -763
479 111 855
726 68 561
890 96 636
322 324 -849
436 218 960
47 802 71
