9419 27044
2121 2643 -314
7285 6095 -974
7559 1449 -948
8107 129 -610
3735 6418 734
6167 3803 531
5431 8795 -703
5774 406 -168
7680 8972 918
4316 4924 697
2057 7902 968
4796 467 677
2446 504 -779
4057 9035 877
4633 1049 877
3614 9288 -832
601 3180 59
376 828 695
211 1647 -548
600 5653 346
1766 478 591
563 5078 335
3225 7360 594
5998 2445 -588
3393 3925 -858
8036 8357 -614
745 3320 -341
1911 1188 -726
1397 3986 36
1765 5341 -609
3289 2190 -335
1035 8630 698
2262 4250 -860
9373 8309 -999
9025 5229 -551
2566 3624 818
8608 967 -119
3382 7841 -961
4232 2640 -891
8286 7587 -707
4895 7633 -239
9100 6541 -14
6273 8262 -592
4071 730 -993
9313 5631 153
881 6691 195
8474 138 -375
1254 2197 41
4360 1146 -718
5864 7689 630
7417 1125 650
4103 6147 15
6720 2922 926
5925 6009 281
3768 1785 -127
5386 1274 -517
3134 7236 747
1253 2500 163
5947 9154 -200
6199 6229 823
6540 1403 561
8836 5175 -792
9386 2814 40
2028 2255 675
5922 1543 -621
225 754 -519
3762 2058 779
4462 7149 108
6785 2434 -231
2897 8082 -960
2080 9051 -921
299 7706 976
1734 5146 -295
1972 6378 -689
6004 143 568
5969 5354 424
6464 1149 -537
2979 2026 -420
6140 1700 -117
7936 8961 832
9207 2636 -464
2349 2892 645
7561 6789 515
3978 2409 545
5158 6418 187
7925 7466 799
1486 7804 -599
2877 6446 126
8087 8894 -25
5695 2491 -516
8493 3662 456
9008 9328 -637
1163 6121 -296
2665 1259 -590
3458 7253 713
4948 5488 3
403 8343 417
9052 9168 -650
7045 8022 -535
3712 4239 913
4292 8663 -324
2721 5303 280
7662 1298 839
4441 5117 -789
7775 7194 -982
6862 7882 -658
1448 390 854
4154 2574 901
3504 2174 85
7380 6798 -872
2631 719 11
5800 518 -892
3964 7428 451
8369 1180 -949
8863 1056 -473
2819 8861 -961
7440 993 102
9118 5289 997
2696 3010 945
328 3394 -417
3336 4468 415
1672 2285 -813
7852 6828 941
7969 853 936
3035 9289 -581
7407 359 992
284 1306 -607
6545 5582 664
7578 7127 542
5662 2954 -80
9264 6761 -135
6708 3212 -23
3130 7128 -104
6389 2169 801
1233 1288 -117
1071 1598 -796
9408 903 -478
5836 6375 -832
106 2376 907
8658 2518 -132
1934 6318 366
8060 397 88
3877 5330 496
2746 1652 512
7712 8288 -437
8673 1594 -246
7839 6053 -610
4795 5036 -671
8633 4826 805
2395 2845 -428
6559 6606 -113
5616 7387 -658
5302 6219 561
9280 7921 -487
5654 5658 291
8850 8841 973
2708 6776 214
1292 2779 679
2438 4818 -77
6022 3883 -206
1071 7606 355
2536 8269 628
8016 6147 -482
7531 8945 -850
1274 7993 968
2066 6919 -809
3085 4316 -664
4274 3032 -130
4553 4415 399
1889 5056 730
3533 2639 -239
6739 220 -528
3876 6219 481
1287 2853 638
5777 2620 -577
7003 4655 -299
8373 6165 -942
3805 6955 345
5507 6513 320
2858 4028 -961
1190 3106 126
2804 8809 -595
4080 1263 459
2693 2719 -614
3111 3256 -515
2197 1800 734
525 2641 211
9056 2126 265
479 3800 -689
4258 57 411
5273 9122 100
160 1556 248
7957 5853 -457
5542 5395 641
6157 5438 486
5283 1151 92
9399 1982 -567
1669 6158 -617
280 9328 237
793 4988 -686
202 1070 -895
6315 7135 -127
8549 4119 941
7263 8882 712
6707 4863 -831
2180 2441 -77
1460 9371 -683
6796 381 -638
4086 1005 -106
9130 9290 45
5351 1609 819
8038 3837 721
6080 778 253
8577 4202 440
8066 2886 -792
203 4085 351
1679 85 -371
3830 486 594
4546 4675 -996
7739 9336 -859
3242 2663 546
288 6445 324
1884 7244 -646
3335 909 549
4578 6133 -68
5997 99 354
3936 8030 818
809 5166 -984
4025 9153 396
3051 8820 -930
3182 9370 -540
5797 6351 880
438 2361 355
4018 6204 -396
7839 1871 505
2593 5931 -308
6572 4372 735
1741 1067 -811
4989 6324 280
8496 537 7
3314 2298 758
4471 215 -331
7709 8249 74
687 4119 902
646 4452 -424
1663 2339 582
9247 5898 949
6768 4239 -46
2822 8665 108
3775 7120 -777
831 7834 -913
346 3405 -169
537 7127 140
5584 2400 -277
196 8694 -846
8657 3850 -92
2557 8111 180
5057 1995 225
4300 2648 -10
900 6480 306
5715 4146 -970
7535 6487 -319
8402 6295 -144
8616 2809 362
5723 5704 -921
7151 6127 472
5223 2199 993
6868 5671 894
2594 2356 -557
3077 7066 -975
1649 4561 409
1279 6660 581
6207 20 -948
2351 4923 -614
8267 4971 123
7718 4407 -301
7623 4245 -21
9110 8637 795
3940 741 -532
5903 1182 -215
1532 6692 -679
7498 3016 -683
6603 766 57
6692 8554 -721
5773 886 -531
3976 7173 -151
6960 9286 -879
1808 4006 -949
2957 2300 76
9212 8622 515
7690 6504 -924
103 8071 -355
2226 4445 -186
267 881 -715
16 5912 368
8495 6379 900
6761 1193 88
8281 877 88
